QTD;UNIDADE;VAGAS;CNPJ;APP Omie;SUPERVISOR;ADMINISTRADORA;ENDEREÇO;BAIRRO;REGIÃO;CIDADE;ESTADO;;SISTEMA;PREVISÃO;SERVIÇOS;;;;;;OPERAÇÃO;SERVIDORES;INTERNET;ACESSO REMOTO;PARKAWARE;STATUS;Ult_DT;INTERNET
76;RUBENS PARADA;63;45.037.347/001-47;CORP - Matriz;GRACILIANO;HERSIL;Avenida Rebouças, 2748;Pinheiros;Oeste;São Paulo;SP;;;;;;;;;;;;;;;;;
77;SANTA CATARINA;541;16.870.311/0004-94;PCO - Filial;EDMILSON;HERSIL;Rua Teixeira da Silva, 204 - São Paulo - SP e Av. Paulista, 283/287 - Bela Vista, São Paulo - SP, 01311-000;Paulista;Sul;São Paulo;SP;;KAPATRON;;;;;;;;Automatizado;1º Subsolo;Compartilhada;;Pendente;N temos pedido de projeto;;fixa
78;SENECA TOTVS;581;16.870.311/0056-15;CORP - Filial;DANILO ( Encarregado );INOVA;Avenida Braz Leme, 1020 - Santana, São Paulo - SP;Santana;Norte;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;ENTERPRISE BI;x;x;x;x;;;;;Implantada;;;fixa
79;SHOPPING VILLA LOBOS;2200;35.714.640/0002-29;G1;;SHOPPING;Av. Dra. Ruth Cardoso, 4777 - Jardim Universidade;Pinheiros;Oeste;São Paulo;SP;;WPS;;;;;;;;;;;;;;;
80;SOMPO;150;45.037.347/0001-47;CORP - Matriz;ANDRÉ MOURA;BARZEL;Rua Abílio Soares, 345 - Paraíso - São Paulo;Paulista;Paulista;São Paulo;SP;;VALETI;;;;;;;;;;;;Sem Inf;;;Não possui 
81;TERRENO INÁCIO;60;23.599.333/0001-84;Style - Matriz;GRACILIANO;FECHOU POR HORA;R. Inácio Pereira da Rocha, 593 ;Pinheiros;Oeste;São Paulo;SP;;;;;;;;;;;;;;;;;
82;TERRENO NOVE DE JULHO;;23.599.333/0001-84;Style - Matriz;GUILHERME;FECHOU POR HORA;Avenida Nove de Julho, 5109;Jardim Paulista;Sul;São Paulo;SP;;VALETI;;;;;;;;;;;;;;;
83;THERA CORPORATE ;1026;45.037.347/0011-19;CORP - Filial;ANDRÉ MOURA;BARZEL;Avenida Engenheiro Luís Carlos Berrini, 105 - Cidade Monções, São Paulo - SP, 04571-010;Berrini;Sul;São Paulo;SP;;WPS;;;;;;;;;;;;;;;
84;TIETÊ;1200;32.300.112/0001-54;M2;LEONARDO;;Rua Voluntários da Pátria, 344 - Santana, São Paulo - SP;Santana;Norte;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;x;x;;;;;Implantada;;;fixa
85;TORRE 2000;200;45.037.347/0012-08;CORP - Filial;GRACILIANO;HERSIL;Rua dos Pinheiros, 870 - Pinheiros, São Paulo - SP;Pinheiros;Oeste;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;x;x;;;;;Pendente;N temos pedido de projeto;;Não possui 
86;TORRE PINHEIROS;89;16.870.311/0039-14;PCO - Filial;GRACILIANO;HERSIL;Rua Pedroso de Morais, 457 - São Paulo;Pinheiros;Oeste;São Paulo;SP;;KAPATRON;;;;;;;;Informatizado;1º Subsolo;;;Implantada;;;emprestado do condominio
87;TOWER BRIDGE;800;16.870.311/0027-80;PCO - Filial;JOSÉ PAULO;JLL;Avenida Jornalista Roberto Marinho, 85 - Cidade Monções, São Paulo - SP;Berrini;Sul;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;ENTERPRISE BI;x;x;x;x;Automatizado;2º Subsolo;Compartilhada;Enterprise;Implantada;Falta 1 camera p/ concluir;;fixa
88;UNITED WORK;200;45.037.347/0017-04;CORP - Filial;DANILO ( Encarregado );;Avenida Ordem e Progresso, 157 - Várzea da Barra Funda, São Paulo - SP;Barra Funda;Oeste;São Paulo;SP;;LINK;;;;;;;;;;;;Implantada;;;fixa
89;URBANITY;92;45.037.347/0001-47;CORP - Matriz;ANDRÉ MOURA;BARZEL;Rua Luís Correia de Melo, 92 - Santo Amaro, São Paulo - SP;Berrini;Sul;São Paulo;SP;;LINK;;;;;;;;;;;;Implantada;;;fixa
90;VERVE;20;;;;;Rua dos Pinheiros 1005;Pinheiros;Oeste;São Paulo;SP;;;;;;;;;;;;;;;;;
91;VIRAPARK;200;57.222.991/0001-74;Virapark - Matriz;CELSO;;R. Pedro Paulo Colombari, 1000 - Campinas, SP, 13053-701;Campinas;Campinas;Campinas;SP;;WPS;;x;ENTERPRISE BI;x;x;x;x;Automatizado;Térreo;Própria;;Implantada;;;
92;WALDYR BEIRA;90;45.037.347/0001-47;CORP - Matriz;GRACILIANO;HERSIL;Avenida Rebouças, 2728 - São Paulo - SP, 05402-500;Pinheiros;Oeste;São Paulo;SP;;EMBRATECC;;;;;;;;;;;;;;;
93;WHITE;80;45.037.347/0001-47;CORP - Matriz;GRACILIANO;HERSIL;Avenida Rebouças, 2880 - São Paulo - SP, 05402-500;Pinheiros;Oeste;São Paulo;SP;;VALETI;;;;;;;;;;;;Sem Inf;;;emprestado do condominio
94;WIN WORK;;45.037.347/0001-47;CORP - Matriz;GRACILIANO;HERSIL;Rua dos Pinheiros 610;Pinheiros;Oeste;São Paulo;SP;;EMBRATECC;;;;;;;;;;;;;;;
